#,Name,Image,Address,Date designated,Description
223,Carmel Fallon Building,,1800 Market Street,"November 8, 1998","37°46′18″N 122°25′27″W﻿ / ﻿37.77175°N 122.42405°W﻿ / 37.77175; -122.42405﻿ (Carmel Fallon Building)
currently houses the San Francisco LGBT Community Center"
224,Schubert Hall,,2099 Pacific Avenue,"May 21, 1999",
225,Fireboat House,,"Pier 221/2, the Embarcadero","April 16, 1999",
226,Washington Square,,600 Columbus Avenue,"January 22, 1999","37°48′03″N 122°24′36″W﻿ / ﻿37.800868°N 122.410001°W﻿ / 37.800868; -122.410001﻿ (Washington Square)
 bound by Union, Filbert, and Stockton Streets"
227,The Castro Camera and the Harvey Milk Residence,,573–575 Castro Street,"July 2, 2000",
228,City Lights Bookstore,,261–271 Columbus Avenue,"August 26, 2001",37°47′51″N 122°24′24″W﻿ / ﻿37.797628°N 122.406575°W﻿ / 37.797628; -122.406575﻿ (City Lights Bookstore)
229,Garcia and Maggini Warehouse,,128 King Street,"June 23, 2002",
231,"Laguna Honda Station /
Forest Hill Station",,390 Laguna Honda Boulevard,"September 23, 2004","37°44′53″N 122°27′33″W﻿ / ﻿37.74803°N 122.45914°W﻿ / 37.74803; -122.45914﻿ (Laguna Honda/Forest Hill Station)
 now known as Forest Hill station (Muni Metro)"
232,Filbert Street Cottages (Bush Cottages and the School of Basic Design and Color),,1338 Filbert Street,"April 3, 2003",
233,Golden Triangle Light Standards,,"Along the streets bounded by Market, and Sutter Streets","May 23, 2003",
234,Carnegie Mission Branch Library,,300 Bartlett Street,"September 23, 2004",See also list of Carnegie libraries in California
235,Carnegie Chinatown Branch Library,,1135 Powell Street,"May 2, 2002",See also list of Carnegie libraries in California
236,Old San Francisco Mint,,88 5th Street,"February 21, 2003",37°46′58″N 122°24′26″W﻿ / ﻿37.7829°N 122.4071°W﻿ / 37.7829; -122.4071﻿ (Old U.S. Mint)
237,Colombo Building,,1–21 Columbus Avenue,"August 23, 2002","37°47′44″N 122°24′13″W﻿ / ﻿37.7956°N 122.4037°W﻿ / 37.7956; -122.4037﻿ (Colombo Building)
 also known as Drexler-Colombo Building"
238,Labor Temple-Redstone Building,,2926–2948 16th Street,"January 16, 2004",
239,Carnegie Sunset Library,,1305 18th Avenue,"June 10, 2004",See also list of Carnegie libraries in California
240,Carnegie Presidio Library,,3150 Sacramento Street,"June 10, 2004",See also list of Carnegie libraries in California
241,Jose Theater/Names Project Building,,2362 Market Street,"May 27, 2004",
242,Infant Shelter,,1201 Ortega Street,"August 25, 2004",
243,Old Chronicle Building,,690 Market Street,,"Rescinded by Ord. 54-06, File No. 050298, App. 3/31/2006, currently designated as ""Significant – Category II"". Now Ritz-Carlton Club and Residences"
244,Garfield Building,,938–942 Market Street,"September 30, 2004",
245,New Mission Theater,,2550 Mission Street,"May 27, 2004",37°45′23″N 122°25′08″W﻿ / ﻿37.7563°N 122.419°W﻿ / 37.7563; -122.419﻿ (New Mission Theater)
246,James Lick Baths/People's Laundry Building,,165 10th Street,"August 25, 2004",
247,Carnegie Richmond Branch Library,,351 9th Avenue,"March 3, 2005",See also list of Carnegie libraries in California
248,Juvenile Court and Detention Home,,150 Otis Street,"June 14, 2006",Now Swords to Plowshares
249,Golden Gate Park Music Concourse,,Tea Garden Drive,"December 16, 2005",37°46′14″N 122°28′03″W﻿ / ﻿37.77064°N 122.46749°W﻿ / 37.77064; -122.46749﻿ (Golden Gate Park Music Concourse)
250,Shipwright's Cottage,,900 Innes Avenue,"May 9, 2008",
251,Glazer-Keating House,,1110 Taylor Street,"August 18, 2005",
252,Saint Brigid Church,,2151 Van Ness Avenue,"October 24, 2006",
253,Richard P. Doolan-Norman T. Larson Residence and Storefronts,,"557 Ashbury Street, 1500–1512 Haight Street","July 14, 2006",
254,Doggie Diner sign,,Median strip of Sloat Boulevard and 45th Avenue,"August 11, 2006",37°44′08″N 122°30′11″W﻿ / ﻿37.735461°N 122.502969°W﻿ / 37.735461; -122.502969﻿ (Doggie Diner Sign)
255,Mission High School,,3750 18th Street,"February 9, 2007",37°45′42″N 122°25′38″W﻿ / ﻿37.761775°N 122.427306°W﻿ / 37.761775; -122.427306﻿ (Mission High School)
256,Richardson Hall,,55 Laguna Street,"September 21, 2007",
257,Woods Hall,,55 Laguna Street,"September 21, 2007",
258,Woods Hall Annex,,55 Laguna Street,"September 21, 2007",
259,Carnegie Noe Valley Branch Library,,451 Jersey Street,"March 10, 2008",See also list of Carnegie libraries in California
260,Tobin House,,1969 California Street,"October 30, 2008",
261,Metro Theatre,,2055 Union Street,"July 21, 2009",37°47′49″N 122°25′59″W﻿ / ﻿37.7970°N 122.4330°W﻿ / 37.7970; -122.4330﻿ (Metro Theatre)
262,Appleton & Wolfard Libraries,,1890 Chestnut Street,"November 18, 2010",
263,Sam Jordan's Bar,,4004–4006 3rd Street,"February 6, 2013",
264,Twin Peaks Tavern,,401 Castro Street,"February 6, 2013",
265,Doelger Building,,320–326 Judah Street,"April 10, 2013",
266,Marcus Books and Jimbo's Bop City,,1712–1716 Fillmore Street,"February 13, 2014",
267,Swedish American Hall,,2168–2174 Market Street,"May 8, 2015",
268,R. L. Goldberg Building,,182–198 Gough Street,"May 21, 2015",
269,University Mound Ladies Home,,350 University Street,"November 25, 2015",
270,Cowell House,,171 San Marcos Avenue,"April 22, 2016",
271,Bourdette Building,,90 2nd Street,"May 20, 2016",
272,Alemany Emergency Hospital and Health Building,,35–45 Onondaga Street,"June 17, 2016",
273,Ingleside Presbyterian Church and The Great Cloud of Witnesses,,1345 Ocean Avenue,"November 22, 2016",
274,El Rey Theatre,,1970 Ocean Avenue,"July 27, 2017",
275,Third Baptist Church Complex,,1399 McAllister Street,"November 15, 2017",
276,Gaughran House,,2731–2735 Folsom Street,"December 15, 2017",
277,New Era Hall,,2117–2123 Market Street,"March 29, 2018",
278,Phillips Building,,234–246 1st Street,"June 28, 2018",
279,Arthur H. Coleman Medical Center,,6301 3rd Street,"August 10, 2018",
280,New Pullman Hotel,,228–248 Townsend Street,"November 2, 2018",
281,"Piledrivers, Bridge, and Structural Ironworkers",,457 Bryant Street,"November 2, 2018",
282,Hotel Utah,,500–504 4th Street,"November 2, 2018",
283,"Dunham, Carrigan & Hayden Building",,2 Henry Adams Street,"January 25, 2019",
284,Benedict-Gieling House,,22 Beaver Street,"February 22, 2019",
285,Theodore Roosevelt Middle School,,460 Arguello Boulevard,"March 15, 2019",
286,Sunshine School,,2728 Bryant Street,"March 15, 2019",
287,Paper Doll (bar),,524 Union Street,"June 25, 2019",37°48′03″N 122°24′29″W﻿ / ﻿37.800753°N 122.408143°W﻿ / 37.800753; -122.408143
288,Kinmon Gakuen,,2031 Bush Street,"November 1, 2019",
289,"""History of Medicine in California"" frescoes",,533 Parnassus Avenue,"November 25, 2020",Ten panel fresco by Bernard Zakheim in Toland Hall auditorium at UCSF
290,Royal Baking Company,,4767–4773 Mission Street,"December 23, 2020",
291,Japanese YWCA/Issei Women’s Building,,1830 Sutter Street,"April 30, 2021","Addition (left), Original building (right)"
292,Lyon-Martin House,,651 Duncan Street,"May 21, 2021",
293,Ingleside Terraces Sundial and Sundial Park,,Within Entrada Court,"October 8, 2021",
294,"""The Making of a Fresco Showing the Building of a City"" fresco",,800 Chestnut Street,"October 15, 2021","Fresco by Diego Riviera in the Diego Rivera Gallery, San Francisco Art Institute"
295,San Francisco Eagle Bar,,396–398 12th Street,"October 29, 2021",
296,Casa Sanchez Building,,2778 24th Street,"February 11, 2022",
297,Crocker National Bank Building,,1–25 Montgomery Street,"March 14, 2022",
298,"""Allegory of California"" fresco",,155 Sansome Street,"March 14, 2022",In the grand stairwell between the 10th and 11th floors of The City Club of San Francisco (former Pacific Stock Exchange Luncheon Club)
299,Jones-Thierbach Coffee Company Building,,447 Battery Street,"March 16, 2022",
300,Golden Gate Valley Carnegie Library,,1801 Green Street,"March 22, 2022",See also list of Carnegie libraries in California
301,Trocadero Clubhouse,,Within Sigmund Stern Recreation Grove,"April 15, 2022",
302,Clay Theatre,,2261 Fillmore Street,"May 6, 2022",
303,Mission Cultural Center for Latino Arts,,2868 Mission Street,"June 3, 2022",
304,Mother’s Building,,Within the San Francisco Zoo,"September 16, 2022",
305,Takahashi Trading Company,,200 Rhode Island Street,"September 22, 2022",
307,Site of the Compton’s Cafeteria Riot,,"Turk and Taylor Streets intersection, with portions of 101 Taylor Street","November 29, 2022",
308,St. James Presbyterian Church,,240 Leland Avenue,"December 13, 2022",
309,Church for the Fellowship of All Peoples,,2041 Larkin Street,"June 27, 2023",
310,Parkside Branch Library,,1200 Taraval Street,"July 25, 2023",
311,Colombo Market Arch,,600 Front Street,"October 3, 2023",within Sydney Walton Square
