,Landmark name,Image,Date designated,Location,County,Description
91,Alfred E. Smith House,Alfred E. Smith House,"November 28, 1972
(#72000882)","Manhattan
 40°42′48″N 73°59′53″W﻿ / ﻿40.713208°N 73.997962°W﻿ / 40.713208; -73.997962﻿ (Alfred E. Smith House)",New York,Home of four-time New York State governor Alfred E. Smith (and later presidential candidate) from 1907 to 1923
92,SoHo-Cast Iron Historic District,SoHo-Cast Iron Historic District More images,"June 2, 1978
(#78001883)","Manhattan
 40°43′28″N 74°00′05″W﻿ / ﻿40.724315°N 74.001292°W﻿ / 40.724315; -74.001292﻿ (SoHo-Cast Iron Historic District)",New York,Believed to be the largest existing collection of late 19th-century cast iron facades in the world
93,A. T. Stewart Company Store,A. T. Stewart Company Store More images,"June 2, 1978
(#78001885)","Manhattan
 40°42′51″N 74°00′22″W﻿ / ﻿40.71425°N 74.006111°W﻿ / 40.71425; -74.006111﻿ (A. T. Stewart Company Store)",New York,"Site of the first American department store (now known as the ""New York Sun Building"")"
94,Stonewall,Stonewall More images,"February 16, 2000
(#99000562)","Manhattan
 40°44′02″N 74°00′08″W﻿ / ﻿40.733797°N 74.0021°W﻿ / 40.733797; -74.0021﻿ (Stonewall)",New York,Site of 1969 Stonewall riots which began gay rights movement
95,St. Bartholomew's Church and Community House,St. Bartholomew's Church and Community House More images,"October 31, 2016
(#80002719)","Midtown Manhattan
 40°45′26″N 73°58′25″W﻿ / ﻿40.757222°N 73.973611°W﻿ / 40.757222; -73.973611﻿ (St. Bartholomew's Church and Community House)",New York,A pivotal example of the work of Bertram Grosvenor Goodhue and an outstanding example of early 20th-century ecclesiastical architecture.
96,Surrogate's Court,Surrogate's Court More images,"December 22, 1977
(#72000888)","Manhattan
 40°42′49″N 74°00′17″W﻿ / ﻿40.713511°N 74.004589°W﻿ / 40.713511; -74.004589﻿ (Surrogate's Court)",New York,Probate Courthouse across from City Hall
97,Tenement Building at 97 Orchard Street,Tenement Building at 97 Orchard Street More images,"April 19, 1994
(#92000556)","Manhattan
 40°43′07″N 73°59′25″W﻿ / ﻿40.7185°N 73.990139°W﻿ / 40.7185; -73.990139﻿ (Tenement Building at 97 Orchard Street)",New York,Preserved tenement building that housed hundreds of immigrants; now the heart of the Lower East Side Tenement Museum.
98,Third Judicial District Courthouse,Third Judicial District Courthouse More images,"December 22, 1977
(#72000875)","Manhattan
 40°44′05″N 73°59′57″W﻿ / ﻿40.734722°N 73.999167°W﻿ / 40.734722; -73.999167﻿ (Third Judicial District Courthouse)",New York,"Originally built as the Third Judicial District Courthouse; faced with demolition, public outcry led to its reuse as a branch of the New York Public Library"
99,Tiffany and Company Building,Tiffany and Company Building More images,"June 2, 1978
(#78001886)","Manhattan
 40°45′00″N 73°58′53″W﻿ / ﻿40.75°N 73.981306°W﻿ / 40.75; -73.981306﻿ (Tiffany and Company Building)",New York,Served as the home of Tiffany and Company from 1905 through 1940
100,Samuel J. Tilden House,Samuel J. Tilden House More images,"May 11, 1976
(#76001251)","Manhattan
 40°44′15″N 73°59′14″W﻿ / ﻿40.7375°N 73.987222°W﻿ / 40.7375; -73.987222﻿ (Samuel J. Tilden House)",New York,"Home of Samuel J. Tilden, former New York State governor and loser of the bitter 1876 presidential election"
101,The Town Hall,The Town Hall More images,"March 2, 2012
(#80002724)","Manhattan
 40°45′22″N 73°59′05″W﻿ / ﻿40.755986°N 73.984712°W﻿ / 40.755986; -73.984712﻿ (The Town Hall)
 40°45′22″N 73°59′05″W﻿ / ﻿40.755986°N 73.984712°W﻿ / 40.755986; -73.984712﻿ (The Town Hall)",New York,"""America's Town Meetings of the Air"" radio programs from here in the 1930s created public-affairs media."
102,Triangle Shirtwaist Factory,Triangle Shirtwaist Factory More images,"July 17, 1971
(#91002050)","Manhattan
 40°43′48″N 73°59′45″W﻿ / ﻿40.730011°N 73.995817°W﻿ / 40.730011; -73.995817﻿ (Triangle Shirtwaist Factory)",New York,"Site of the Triangle Shirtwaist Factory fire, one of the worst industrial disasters in the U.S., which led to many workplace reforms"
103,Trinity Church,Trinity Church More images,"December 8, 1976
(#76001252)","Manhattan
 40°42′29″N 74°00′44″W﻿ / ﻿40.708056°N 74.012222°W﻿ / 40.708056; -74.012222﻿ (Trinity Church)",New York,Historic church which looks down Wall Street
104,Old New York County Courthouse,Old New York County Courthouse More images,"May 11, 1976
(#74001277)","Manhattan
 40°42′47″N 74°00′22″W﻿ / ﻿40.713167°N 74.006°W﻿ / 40.713167; -74.006﻿ (Old New York County Courthouse)",New York,"Historic courthouse, more commonly known as the Tweed Courthouse, connected to Tammany Hall, now used by NYC's Department of Education"
105,Union Square,Union Square More images,"December 9, 1997
(#97001678)","Manhattan
 40°44′08″N 73°59′26″W﻿ / ﻿40.735556°N 73.990556°W﻿ / 40.735556; -73.990556﻿ (Union Square)",New York,The political heart of Manhattan; many protests begin or end here
106,United Charities Building,United Charities Building More images,"July 17, 1991
(#85000661)","Manhattan
 40°44′22″N 73°59′11″W﻿ / ﻿40.739389°N 73.986389°W﻿ / 40.739389; -73.986389﻿ (United Charities Building)",New York,Built in 1893 by a wealthy businessman in order to provide his favorite charities a low cost location for their operations
107,United Workers Cooperatives,United Workers Cooperatives More images,"July 17, 1991
(#86002518)","Bronx
 40°51′59″N 73°52′11″W﻿ / ﻿40.866389°N 73.869722°W﻿ / 40.866389; -73.869722﻿ (United Workers Cooperatives)",Bronx,"Built in 1926 by the United Workers' Association to improve the living standards of its members, many of whom lived in squalid conditions in the tenements of the Lower East Side"
108,U.S. Customhouse,U.S. Customhouse More images,"December 8, 1976
(#72000889)","Manhattan
 40°42′15″N 74°00′50″W﻿ / ﻿40.704294°N 74.013773°W﻿ / 40.704294; -74.013773﻿ (U.S. Customhouse)",New York,Cass Gilbert designed Customhouse for New York Harbor; now part of the Smithsonian Institution
109,University Heights Campus (Bronx Community College of the City University of New York),University Heights Campus (Bronx Community College of the City University of New York) More images,"October 17, 2012
(#12001013)","Bronx
 40°51′28″N 73°54′44″W﻿ / ﻿40.857778°N 73.912222°W﻿ / 40.857778; -73.912222﻿ (University Heights Campus (Bronx Community College of the City University of New York))",Bronx,Collection of Beaux Arts buildings by Stanford White is one of the best examples of that style anywhere.
110,Van Cortlandt House,Van Cortlandt House More images,"December 24, 1976
(#67000010)","Van Cortlandt Park
 40°53′24″N 73°53′47″W﻿ / ﻿40.89°N 73.896389°W﻿ / 40.89; -73.896389﻿ (Van Cortlandt House)",Bronx,Mansion for the Van Cortlandt family built in 1748 and used during the American Revolution
111,Voorlezer's House,Voorlezer's House More images,"November 5, 1961
(#66000565)","Richmondtown
 40°34′17″N 74°08′51″W﻿ / ﻿40.571417°N 74.1475°W﻿ / 40.571417; -74.1475﻿ (Voorlezer's House)",Richmond,Oldest known surviving schoolhouse in America; owned by the Staten Island historical society
112,Wards Point Archeological Site,Wards Point Archeological Site,"April 19, 1993
(#93000609)","Tottenville
 40°29′56″N 74°15′07″W﻿ / ﻿40.498889°N 74.251944°W﻿ / 40.498889; -74.251944﻿ (Wards Point Archeological Site)",Richmond,Archaeological site in Conference House Park containing prehistoric remains.
113,Woodlawn Cemetery,Woodlawn Cemetery More images,"June 23, 2011
(#11000563)","Bronx
 40°53′21″N 73°52′24″W﻿ / ﻿40.889167°N 73.873333°W﻿ / 40.889167; -73.873333﻿ (Woodlawn Cemetery)",Bronx,Illustrates transition from rural cemetery to 20th-century styles; notable dead buried here include Robert Moses and R.H. Macy
114,Woolworth Building,Woolworth Building More images,"November 13, 1966
(#66000554)","Manhattan
 40°42′44″N 74°00′29″W﻿ / ﻿40.712222°N 74.008056°W﻿ / 40.712222; -74.008056﻿ (Woolworth Building)",New York,One of the oldest — and most famous — skyscrapers in New York City; still one of the tallest buildings in New York City
115,Wyckoff House,Wyckoff House More images,"December 24, 1967
(#67000013)","Brooklyn
 40°38′40″N 73°55′15″W﻿ / ﻿40.644342°N 73.920777°W﻿ / 40.644342; -73.920777﻿ (Wyckoff House)",Kings,Oldest surviving Dutch saltbox frame house in America
116,Wyckoff-Bennett Homestead,Wyckoff-Bennett Homestead More images,"December 24, 1976
(#74001253)","Brooklyn
 40°36′39″N 73°57′05″W﻿ / ﻿40.610851°N 73.951265°W﻿ / 40.610851; -73.951265﻿ (Wyckoff-Bennett Homestead)",Kings,Housed Hessian soldiers during the American Revolution
